snapshot_id,pipeline,fenetre_debut,fenetre_fin,version_collecte,annonce_id,url,modele,annee,type_connexion,segment,energie,reservation_instantanee,prix_jour,prix_heure,note,nb_avis,commune_recherche,commune_annonce,communes_recherche,nb_communes_matchees,rang_resultat,livraison_disponible,mon_vehicule,compte_proprietaire
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1204835,https://fr.getaround.com/location-voiture/suresnes/citroen-c3-1204835?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Citroen C3,2016,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,67.0,,3.91,28,Puteaux,Suresnes,Puteaux
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1756735,https://fr.getaround.com/location-voiture/paris/renault-clio-1756735?program=getaround&searched_address%5Blatitude%5D=48.9175&searched_address%5Blongitude%5D=2.2869,Renault Clio,2024,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,79.0,,4.55,29,Asnières-sur-Seine,Paris,Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1821363,https://fr.getaround.com/location-voiture/nanterre/ford-fiesta-1821363?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Ford Fiesta,2015,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,60.0,,4.0,2,Puteaux,Nanterre,Puteaux|Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1713379,https://fr.getaround.com/location-voiture/paris/volkswagen-polo-1713379?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Volkswagen Polo,2025,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,106.0,,4.91,11,Puteaux,Paris,Puteaux|Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1291658,https://fr.getaround.com/location-voiture/vanves/toyota-yaris-hybride-1291658?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Toyota Yaris Hybride,2022,GETAROUND CONNECT,CITADINE,HYBRIDE,,,deduite,False,71.0,,4.46,55,Puteaux,Vanves,Puteaux
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1356027,https://fr.getaround.com/location-voiture/paris/renault-clio-1356027?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Renault Clio,2022,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,76.0,,4.86,65,Puteaux,Paris,Puteaux|Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1926461,https://fr.getaround.com/location-voiture/paris/renault-twingo-1926461?program=getaround&searched_address%5Blatitude%5D=48.9175&searched_address%5Blongitude%5D=2.2869,Renault Twingo,2026,GETAROUND CONNECT,MICRO_CITADINE,THERMIQUE,,,deduite,False,61.0,,,,Asnières-sur-Seine,Paris,Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1638499,https://fr.getaround.com/location-voiture/issy-les-moulineaux/renault-clio-1638499?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Renault Clio,2019,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,70.0,,4.86,21,Puteaux,Issy Les Moulineaux,Puteaux
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1326257,https://fr.getaround.com/location-voiture/saint-denis/renault-clio-1326257?program=getaround&searched_address%5Blatitude%5D=48.9175&searched_address%5Blongitude%5D=2.2869,Renault Clio,2012,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,60.0,,4.88,17,Asnières-sur-Seine,Saint Denis,Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1634381,https://fr.getaround.com/location-voiture/boulogne-billancourt/opel-corsa-1634381?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Opel Corsa,2024,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,84.0,,4.82,41,Puteaux,Boulogne Billancourt,Puteaux
